City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,batangafo,7.3008,18.2833,33.68,18,90,0.79,CF,1710266253
1,mar del plata,-38.0023,-57.5575,21.4,93,75,6.71,AR,1710265971
2,blackmans bay,-43.0167,147.3167,10.29,81,59,1.05,AU,1710266255
3,rundu,-17.9333,19.7667,30.0,21,59,1.52,NA,1710266257
4,gobabis,-22.45,18.9667,26.86,30,77,2.78,NA,1710266258
5,iqaluit,63.7506,-68.5145,-23.15,77,20,0.0,CA,1710266259
6,port-aux-francais,-49.35,70.2167,5.27,73,33,16.63,TF,1710266260
7,ilulissat,69.2167,-51.1,-13.85,91,100,1.26,GL,1710266262
8,khanpur mahar,27.8436,69.4137,22.43,53,46,4.52,PK,1710266264
9,saguenay,48.4168,-71.0657,-1.07,75,100,7.72,CA,1710266013
10,novopskov,49.5464,39.0899,0.31,51,52,2.31,UA,1710266266
11,franklin,39.9667,-83.0166,19.74,38,75,6.17,US,1710266056
12,cartagena,10.3997,-75.5144,33.79,55,20,8.23,CO,1710266269
13,phek,25.6667,94.5,9.08,59,0,0.27,IN,1710266270
14,chibougamau,49.9168,-74.3659,-3.23,86,100,3.09,CA,1710266272
15,markaz-e hukumat-e darweshan,31.1323,64.1934,15.01,66,54,1.52,AF,1710266273
16,alice springs,-23.7,133.8833,25.75,41,58,3.09,AU,1710266276
17,grytviken,-54.2811,-36.5092,5.69,80,59,3.62,GS,1710266277
18,crane,31.3974,-102.3501,22.8,31,99,3.97,US,1710266278
19,edinburgh of the seven seas,-37.0676,-12.3116,16.38,67,100,4.39,SH,1710266279
20,adamstown,-25.066,-130.1015,25.29,77,89,2.25,PN,1710266281
21,ribeira brava,32.65,-17.0667,19.45,91,99,4.82,PT,1710266282
22,san antonio de pale,-1.4014,5.6325,28.93,79,100,4.04,GQ,1710266284
23,puerto ayora,-0.7393,-90.3518,29.19,87,98,1.79,EC,1710266285
24,farshut,26.0549,32.1633,24.29,9,0,3.56,EG,1710266287
25,mount pearl,47.5166,-52.7813,4.19,81,75,4.12,CA,1710266288
26,magadan,59.5667,150.8,-12.47,83,98,2.18,RU,1710266290
27,rosarito,32.3333,-117.0333,16.73,69,99,4.98,MX,1710266291
28,nadi,-17.8,177.4167,25.0,88,75,1.03,FJ,1710266292
29,sorsk,54.0033,90.2467,-6.6,98,100,0.94,RU,1710266294
30,naryn,41.4287,75.9911,-4.62,70,74,4.33,KG,1710266295
31,shelbyville,35.4834,-86.4603,20.02,25,0,4.63,US,1710266066
32,tofol,5.3248,163.0078,27.67,86,100,10.55,FM,1710266299
33,port elizabeth,-33.918,25.5701,22.83,90,75,9.77,ZA,1710266300
34,bethel,41.3712,-73.414,16.12,41,0,7.2,US,1710266302
35,puerto natales,-51.7236,-72.4875,13.25,44,75,7.2,CL,1710266303
36,okhotsk,59.3833,143.3,-21.33,88,77,3.86,RU,1710266304
37,shabqadar,34.2139,71.5552,19.12,45,100,1.15,PK,1710266305
38,san patricio,28.017,-97.5169,26.04,57,98,6.13,US,1710266306
39,gdov,58.7406,27.8122,-1.34,67,100,3.2,RU,1710266308
40,ta`u,-14.2336,-169.5144,28.73,77,73,4.48,AS,1710266309
41,codrington,-38.2667,141.9667,15.24,78,100,5.64,AU,1710266310
42,tsiombe,-25.3,45.4833,25.94,82,100,2.84,MG,1710266312
43,yaren,-0.5472,166.916,28.19,80,100,5.61,NR,1710266313
44,iskateley,67.6803,53.1512,-2.21,95,100,10.28,RU,1710266316
45,waitangi,-43.9535,-176.5597,13.23,79,100,0.89,NZ,1710266317
46,albany,42.6001,-73.9662,13.16,36,3,3.58,US,1710266318
47,west island,-12.1568,96.8225,25.99,83,40,4.63,CC,1710266319
48,wolmaransstad,-27.1974,25.9831,26.08,30,82,3.82,ZA,1710266320
49,hermanus,-34.4187,19.2345,21.0,79,34,2.53,ZA,1710266321
50,lebu,-37.6167,-73.65,16.75,82,60,3.48,CL,1710266323
51,mbale,1.0821,34.175,24.07,51,93,2.22,UG,1710266324
52,college,64.8569,-147.8028,-21.42,66,40,1.54,US,1710266325
53,avarua,-21.2078,-159.775,26.03,83,75,4.63,CK,1710266147
54,kinablangan,7.6947,126.5503,25.61,85,71,2.34,PH,1710266332
55,badger,64.8,-147.5333,-21.47,75,40,1.54,US,1710266334
56,el alto,-4.2714,-81.2147,30.81,65,68,4.33,PE,1710266336
57,goderich,43.7501,-81.7165,7.17,79,96,5.53,CA,1710266338
58,punta arenas,-53.15,-70.9167,10.06,57,75,5.66,CL,1710266339
59,georgetown,5.4112,100.3354,27.96,77,20,0.51,MY,1710266128
60,carnarvon,-24.8667,113.6333,25.74,77,56,7.69,AU,1710266342
61,polyarnyy,69.1989,33.4478,-4.71,78,100,7.07,RU,1710266343
62,dudinka,69.4058,86.1778,-22.96,97,100,9.83,RU,1710266344
63,kununurra,-15.7667,128.7333,25.99,94,100,1.54,AU,1710266346
64,muisne,0.6,-80.0333,28.45,74,71,4.44,EC,1710266347
65,port alfred,-33.5906,26.891,22.32,90,58,2.68,ZA,1710266348
66,bumba,2.1833,22.4667,28.73,55,51,1.74,CD,1710266349
67,grande prairie,55.1667,-118.8027,-0.79,88,100,0.95,CA,1710265816
68,kovdor,67.5662,30.4758,-6.13,96,100,1.43,RU,1710266352
69,camargo,27.6667,-105.1667,23.7,15,99,4.29,MX,1710266353
70,olonkinbyen,70.9221,-8.7187,-1.7,90,100,4.71,SJ,1710266354
71,salinopolis,-0.6136,-47.3561,28.29,79,59,4.53,BR,1710266355
72,constantia,44.1833,28.65,8.38,95,100,6.01,RO,1710266064
73,alofi,-19.0595,-169.9187,26.94,94,75,6.69,NU,1710266358
74,canutama,-6.5339,-64.3831,34.02,55,95,0.89,BR,1710266359
75,smithers,54.7804,-127.1743,2.31,89,94,0.57,CA,1710266360
76,bredasdorp,-34.5322,20.0403,20.09,71,35,3.52,ZA,1710266362
77,hamilton,39.1834,-84.5333,19.39,36,0,5.14,US,1710266271
78,minas de marcona,-15.2119,-75.1103,22.62,65,54,7.05,PE,1710266364
79,ushuaia,-54.8,-68.3,11.79,62,75,6.17,AR,1710266342
80,stettler,52.3168,-112.7186,-1.77,87,99,1.72,CA,1710266368
81,afaahiti,-17.75,-149.2833,26.93,84,100,6.24,PF,1710266370
82,novodvinsk,64.4165,40.8122,0.99,90,99,3.77,RU,1710266371
83,winkler,49.1817,-97.941,6.1,70,52,3.09,CA,1710266373
84,chonchi,-42.6128,-73.8092,14.51,58,62,3.51,CL,1710266374
85,sao jose da coroa grande,-8.8978,-35.1478,29.74,68,100,3.95,BR,1710266375
86,hovd,48.0056,91.6419,-1.03,47,82,1.3,MN,1710266376
87,vila velha,-20.3297,-40.2925,28.3,71,40,5.66,BR,1710266378
88,illapel,-31.6308,-71.1653,28.06,29,0,3.56,CL,1710266171
89,karratha,-20.7377,116.8463,27.29,68,25,4.9,AU,1710266382
90,tra mhor,52.1624,-7.1524,10.96,84,75,8.23,IE,1710266383
91,vilyuchinsk,52.9306,158.4028,-14.48,84,46,4.62,RU,1710266384
92,maragogi,-9.0122,-35.2225,30.16,66,100,4.42,BR,1710266386
93,singkil,-7.9855,111.4161,24.03,97,100,1.48,ID,1710266387
94,abepura,-2.6333,140.5833,24.45,94,20,0.51,ID,1710266389
95,whitehorse,60.7161,-135.0538,-8.28,62,99,0.45,CA,1710266391
96,papatowai,-46.5619,169.4708,9.81,64,5,6.44,NZ,1710266392
97,yellowknife,62.456,-114.3525,-11.44,96,100,7.2,CA,1710266124
98,muntok,-2.0667,105.1833,25.09,91,97,2.51,ID,1710266395
99,volodymyr-volynskyi,50.8525,24.3236,4.18,95,100,5.47,UA,1710266396
100,inirida,3.8653,-67.9239,33.25,53,96,1.53,CO,1710266397
101,eichendorf,48.6333,12.85,9.12,71,89,3.39,DE,1710266399
102,ulladulla,-35.35,150.4667,20.97,85,86,3.04,AU,1710266400
103,kapuskasing,49.4169,-82.4331,2.3,88,91,2.23,CA,1710266162
104,ntungamo,-0.8833,29.65,22.45,68,72,1.86,UG,1710266411
105,ziway,7.9333,38.7167,24.07,42,63,7.66,ET,1710266413
106,mount isa,-20.7333,139.5,20.87,73,0,3.09,AU,1710266415
107,mina clavero,-31.721,-65.0062,33.92,39,0,9.52,AR,1710266417
108,mae ramat,16.984,98.5166,24.89,64,8,0.38,TH,1710266419
109,high rock,26.6208,-78.2833,21.24,61,3,4.03,BS,1710266426
110,red wing,44.5625,-92.5338,17.28,33,0,4.12,US,1710266272
111,uturoa,-16.7333,-151.4333,28.83,75,73,4.08,PF,1710266429
112,kharkiv,50.0,36.25,0.86,48,100,2.85,UA,1710266431
113,hawkesbury,45.6001,-74.616,7.25,39,2,4.04,CA,1710266433
114,new norfolk,-42.7826,147.0587,10.95,81,66,0.56,AU,1710266435
115,dom pedrito,-30.9828,-54.6731,35.54,27,0,4.92,BR,1710266437
116,zhezqazghan,47.7833,67.7667,-11.01,95,68,2.83,KZ,1710266439
117,aral,40.5156,81.2636,9.64,25,30,3.42,CN,1710266441
118,isafjordur,66.0755,-23.124,2.02,80,75,6.69,IS,1710266308
119,el calafate,-50.3408,-72.2768,11.59,46,75,5.28,AR,1710266204
120,brisas barra de suchiate,14.55,-92.2167,35.94,36,0,6.0,MX,1710266447
121,vanimo,-2.6741,141.3028,25.58,91,100,3.19,PG,1710266449
122,zaraza,9.3503,-65.3245,38.81,25,24,2.93,VE,1710266450
123,harstad,68.799,16.5293,1.56,96,99,1.79,NO,1710266451
124,namibe,-15.1961,12.1522,24.9,87,75,5.46,AO,1710266453
125,dubrovnik,42.6481,18.0922,10.8,81,40,1.54,HR,1710266454
126,nieuw amsterdam,5.8833,-55.0833,35.09,49,40,4.12,SR,1710266456
127,sinabang,2.4803,96.3801,26.86,74,48,0.55,ID,1710266458
128,bassar,9.25,0.7833,27.63,58,97,2.66,TG,1710266460
129,timimoun,29.2639,0.231,27.21,12,0,4.63,DZ,1710266463
130,cabo san lucas,22.8909,-109.9124,28.12,62,98,1.34,MX,1710266076
131,mount gambier,-37.8333,140.7667,14.69,83,100,2.44,AU,1710266468
132,qaqortoq,60.7167,-46.0333,-3.36,86,7,1.24,GL,1710266473
133,agat village,13.3886,144.6585,27.06,87,98,0.89,GU,1710266476
134,talnakh,69.4865,88.3972,-23.22,98,100,6.22,RU,1710266478
135,rocha,-34.4833,-54.3333,33.53,22,100,5.8,UY,1710266430
136,margaret river,-33.95,115.0667,17.3,78,15,4.47,AU,1710266482
137,roma,43.2128,-75.4557,12.07,39,0,6.69,US,1710266484
138,geiro,-6.15,36.8667,18.43,95,33,2.46,TZ,1710266486
139,praia da vitoria,38.7333,-27.0667,19.14,68,20,4.07,PT,1710266487
140,paracuru,-3.41,-39.0306,29.5,69,54,3.52,BR,1710266489
141,hawaiian paradise park,19.5933,-154.9731,21.69,98,100,6.21,US,1710266490
142,taoudenni,22.6783,-3.9836,31.26,11,92,2.77,ML,1710266491
143,olonets,60.9847,32.9698,-4.71,94,100,1.74,RU,1710266493
144,longyearbyen,78.2186,15.6401,-11.09,67,75,6.69,SJ,1710266494
145,fort myers beach,26.452,-81.9481,28.36,59,0,2.06,US,1710266496
146,queenstown,-31.8976,26.8753,21.0,59,67,4.1,ZA,1710266296
147,poronaysk,49.2167,143.1167,-19.33,93,6,1.81,RU,1710266498
148,midoun,33.8081,10.9923,16.79,60,4,1.3,TN,1710266499
149,hithadhoo,-0.6,73.0833,28.68,64,64,1.93,MV,1710266500
150,cill airne,52.05,-9.5167,13.03,88,75,7.72,IE,1710266502
151,mata-utu,-13.2816,-176.1745,29.25,75,88,2.94,WF,1710266503
152,stanley,54.868,-1.6985,9.77,86,75,3.6,GB,1710266289
153,nemuro,43.3236,145.575,-1.81,87,100,11.64,JP,1710266506
154,neiafu,-18.65,-173.9833,26.38,94,75,0.0,TO,1710266507
155,bayanhongor,46.7167,100.1167,-21.06,85,24,1.69,MN,1710266509
156,jamestown,42.097,-79.2353,15.85,52,0,5.66,US,1710266511
157,eyl,7.9803,49.8164,26.98,75,3,5.72,SO,1710266512
158,qamdo,31.1667,97.2333,-0.82,49,100,2.07,CN,1710266513
159,nar'yan-mar,67.6713,53.087,-2.16,95,100,10.28,RU,1710266515
160,noumea,-22.2763,166.4572,26.11,99,100,5.44,NC,1710265901
161,kendari,-3.945,122.4989,25.52,91,100,0.53,ID,1710266520
162,east london,-33.0153,27.9116,23.52,83,75,5.66,ZA,1710266521
163,tromso,69.6496,18.957,0.01,80,75,4.63,NO,1710266524
164,arteche,12.2645,125.4048,25.07,74,98,3.35,PH,1710266526
165,st. john's,47.5649,-52.7093,4.66,86,75,4.12,CA,1710266528
166,tiksi,71.6872,128.8694,-21.14,98,100,1.88,RU,1710266537
167,bamboo flat,11.7,92.7167,26.55,73,3,3.37,IN,1710266540
168,aasiaat,68.7098,-52.8699,-13.34,87,100,0.97,GL,1710266542
169,ribeira grande,38.5167,-28.7,16.22,82,40,8.49,PT,1710266545
170,walvis bay,-22.9575,14.5053,21.53,68,60,2.57,NA,1710266546
171,pundong,-7.9522,110.3486,25.23,89,99,1.53,ID,1710266548
172,atafu village,-8.5421,-172.5159,29.57,74,72,5.03,TK,1710266549
173,thompson,55.7435,-97.8558,-1.43,94,100,3.92,CA,1710266551
174,barah,13.7,30.3667,31.39,10,73,4.47,SD,1710266552
175,ingeniero jacobacci,-41.3427,-69.5448,20.34,21,15,12.62,AR,1710266553
176,forbes,-33.3833,148.0167,22.73,37,84,2.79,AU,1710266555
177,laibin,23.7,109.2667,19.18,64,100,3.31,CN,1710266556
178,invercargill,-46.4,168.35,10.01,77,16,1.79,NZ,1710266557
179,williston,48.147,-103.618,10.73,68,100,2.22,US,1710266559
180,fort bragg,35.139,-79.006,22.58,20,0,2.57,US,1710266562
181,luderitz,-26.6481,15.1594,21.33,61,25,8.63,NA,1710266563
182,quellon,-43.1167,-73.6167,14.65,66,79,4.47,CL,1710266564
183,thannhausen,48.2833,10.4667,6.45,87,93,1.84,DE,1710266567
184,la'ie,21.6477,-157.9253,24.98,81,56,4.02,US,1710266568
185,robertsport,6.7533,-11.3686,27.73,79,100,3.49,LR,1710266570
186,arraial do cabo,-22.9661,-42.0278,28.98,69,20,6.17,BR,1710266563
187,kodiak,57.79,-152.4072,-4.17,63,95,3.84,US,1710266573
188,mermoz boabab,14.7065,-17.4758,32.31,64,0,7.2,SN,1710266574
189,anadyr,64.75,177.4833,-30.62,100,46,1.81,RU,1710266575
190,westport,41.1415,-73.3579,17.16,36,7,2.68,US,1710266478
191,severo-yeniseyskiy,60.3725,93.0408,-21.04,100,96,1.57,RU,1710266578
192,jiutai,44.1525,125.8328,0.49,52,100,4.4,CN,1710266579
193,lorengau,-2.0226,147.2712,27.17,81,100,5.61,PG,1710266580
194,puerto baquerizo moreno,-0.9,-89.6,27.53,76,75,2.19,EC,1710266577
195,port mathurin,-19.6833,63.4167,26.66,81,12,8.77,MU,1710266585
196,kampong cham,11.9934,105.4635,27.6,65,70,5.27,KH,1710266589
197,pankrushikha,53.8319,80.3406,-10.42,97,100,2.98,RU,1710266590
198,broome,42.2506,-75.833,14.22,56,0,6.17,US,1710266592
199,brookings,44.3114,-96.7984,15.81,41,0,1.54,US,1710266339
200,sinop,41.7711,34.8709,11.4,53,66,2.8,TR,1710266594
201,nova sintra,14.8667,-24.7167,19.75,76,55,6.07,CV,1710266596
202,ingeniero luis a. huergo,-39.0833,-67.2333,29.94,15,0,12.27,AR,1710266597
203,leh,34.1667,77.5833,-13.81,84,74,1.5,IN,1710266598
204,vernon,50.2581,-119.2691,9.05,72,84,1.34,CA,1710266445
205,cacheu,12.2706,-16.1658,38.05,18,89,3.86,GW,1710266601
206,belmonte,-15.8631,-38.8828,28.73,72,97,2.37,BR,1710266602
207,bardai,11.65,7.2333,33.3,10,94,4.03,NG,1710266604
208,morehead city,34.7229,-76.726,23.0,56,0,5.66,US,1710266337
209,ujae,8.9322,165.7642,26.88,84,100,11.14,MH,1710266606
210,namtsy,62.7161,129.6658,-14.83,96,100,3.25,RU,1710266609
211,siwa oasis,29.2041,25.5195,21.64,22,4,2.43,EG,1710266610
212,loango,-4.6719,11.8312,27.88,87,66,3.23,CG,1710266611
213,san stino di livenza,45.735,12.6808,14.01,86,75,2.22,IT,1710266612
214,suances,43.4334,-4.0434,13.91,75,0,3.6,ES,1710266547
215,trincomalee,8.5711,81.2335,26.94,73,93,3.88,LK,1710266625
216,carriere,10.0341,-12.8657,36.44,18,96,2.57,GN,1710266626
217,mezhdurechenskiy,59.6,65.9333,-19.01,100,79,0.43,RU,1710266627
218,beau vallon,-20.4189,57.6953,25.68,76,56,7.09,MU,1710266453
219,dunedin,-45.8742,170.5036,11.0,70,67,4.47,NZ,1710266502
220,woolgoolga,-30.1106,153.2007,18.91,71,51,0.93,AU,1710266639
221,timmins,48.4669,-81.3331,5.42,69,75,1.83,CA,1710266640
222,cherdyn',60.403,56.4787,-19.41,100,67,0.7,RU,1710266642
223,saint-joseph,-21.3667,55.6167,25.37,79,27,6.12,RE,1710266644
224,caleta de carquin,-11.0925,-77.6267,25.61,75,93,4.35,PE,1710266646
225,tete,-16.1564,33.5867,25.05,83,75,6.69,MZ,1710266530
226,enewetak,11.3474,162.3373,26.55,78,100,10.64,MH,1710266649
227,bilibino,68.0546,166.4372,-28.73,98,95,1.67,RU,1710266650
228,ascension,30.2169,-90.9001,23.34,58,40,2.06,US,1710266357
229,nova vicosa,-17.8919,-39.3719,28.09,76,53,4.88,BR,1710266611
230,tadine,-21.55,167.8833,25.65,88,99,8.76,NC,1710266654
231,boden,65.8252,21.6886,-7.0,98,95,1.04,SE,1710266656
232,tchintabaraden,15.8969,5.7985,35.1,10,9,4.88,NE,1710266657
233,tynda,55.1667,124.7167,-15.11,98,99,0.97,RU,1710266659
234,labrador city,52.9463,-66.9114,0.66,58,100,4.02,CA,1710266662
235,usinsk,65.9939,57.5281,-11.07,94,100,10.73,RU,1710266663
236,fernie,49.5,-115.0687,3.38,95,100,2.66,CA,1710266664
237,beira,-19.8436,34.8389,29.05,70,75,2.24,MZ,1710266666
238,ancud,-41.8697,-73.8203,13.7,80,93,6.61,CL,1710266667
239,lompoc,34.6391,-120.4579,17.66,66,100,3.09,US,1710266667
240,pacific grove,36.6177,-121.9166,15.24,82,100,4.92,US,1710266409
241,palikir - national government center,6.9248,158.1611,27.41,83,100,3.6,FM,1710266670
242,mozarlandia,-14.7447,-50.5706,34.58,47,53,0.78,BR,1710266672
243,key west,24.5557,-81.7826,28.0,63,40,7.2,US,1710266647
244,bella vista,36.4295,-94.2316,21.66,54,0,8.75,US,1710266674
245,bengkulu,-3.8004,102.2655,24.26,87,100,2.11,ID,1710266677
246,yarmouth,41.7057,-70.2286,13.14,39,0,7.2,US,1710266678
247,tazovsky,67.4667,78.7,-21.43,91,91,7.99,RU,1710266679
248,newman,37.3138,-121.0208,14.13,78,96,1.79,US,1710266681
249,holualoa,19.6228,-155.9522,23.21,78,75,3.6,US,1710266682
250,kapa'a,22.0752,-159.319,23.39,84,75,5.66,US,1710266684
251,villa gesell,-37.2639,-56.973,18.36,94,100,6.43,AR,1710266685
252,ust-nera,64.5667,143.2,-31.55,100,23,2.17,RU,1710266686
253,asmar,35.0333,71.3581,14.43,59,100,2.2,AF,1710266687
254,kayangel,8.0823,134.7173,27.46,78,66,7.15,PW,1710266689
255,ladysmith,48.9829,-123.8194,8.81,90,74,3.17,CA,1710266690
256,savanna-la-mar,18.219,-78.1332,31.07,49,6,2.45,JM,1710266692
257,wickenburg,33.9686,-112.7296,20.1,29,57,4.6,US,1710266693
258,rio grande,-32.035,-52.0986,29.06,65,73,6.58,BR,1710266609
259,los palacios,22.5872,-83.2486,31.05,50,45,4.15,CU,1710266491
260,tabina,7.4669,123.4081,26.35,82,78,3.15,PH,1710266697
261,riverton,40.5219,-111.9391,9.84,55,100,5.66,US,1710266698
262,sitka,57.0531,-135.33,6.94,61,75,8.75,US,1710266700
263,raceland,29.7274,-90.599,23.32,66,94,1.34,US,1710266702
264,buka,40.8108,69.1986,5.28,93,100,3.61,UZ,1710266704
265,remire-montjoly,4.9167,-52.2667,27.33,82,100,5.36,GF,1710266705
266,hobyo,5.3505,48.5268,28.28,78,24,7.2,SO,1710266707
267,tolanaro,-25.0319,46.9987,25.59,90,32,5.52,MG,1710266708
268,road town,18.4167,-64.6167,29.05,61,40,4.12,VG,1710266710
269,medicine hat,50.0501,-110.6683,10.4,54,82,3.58,CA,1710266617
270,fort st. john,56.2499,-120.8529,0.31,84,100,0.63,CA,1710266713
271,okha,53.5739,142.9478,-23.02,100,86,2.4,RU,1710266714
272,takoradi,4.8845,-1.7554,29.6,71,88,4.26,GH,1710266716
273,san antonio,29.4241,-98.4936,24.43,67,75,7.2,US,1710266088
274,abadeh,31.1608,52.6506,5.65,59,0,1.41,IR,1710266719
275,varberg,57.1056,12.2508,4.47,86,100,1.26,SE,1710266720
276,portland,45.5234,-122.6762,9.99,86,75,5.14,US,1710266306
277,vojens,55.2464,9.306,7.01,93,100,2.57,DK,1710266723
278,embi,48.8264,58.1442,-16.8,100,71,1.75,KZ,1710266724
279,dubai,25.2582,55.3047,21.41,67,24,6.3,AE,1710266044
280,trairi,-3.2778,-39.2689,29.74,69,59,3.43,BR,1710266727
281,stockerau,48.383,16.1996,9.78,90,100,1.79,AT,1710266729
282,ugoofaaru,5.6667,73.0,28.08,73,9,1.66,MV,1710266730
283,philadelphia,39.9523,-75.1638,18.64,37,40,7.2,US,1710266213
284,la ronge,55.1001,-105.2842,-3.86,74,100,2.57,CA,1710266734
285,urucara,-2.5364,-57.76,32.93,58,63,1.56,BR,1710266735
286,saipan,15.1355,145.701,26.39,83,40,4.12,MP,1710266736
287,illizi,26.4833,8.4667,25.89,18,26,4.27,DZ,1710266738
288,shache,38.4167,77.2406,10.18,23,47,1.47,CN,1710266740
289,gadzhiyevo,69.2551,33.3362,-4.53,76,100,7.45,RU,1710266741
290,susuman,62.7833,148.1667,-30.01,100,100,0.45,RU,1710266743
291,arendal,58.4615,8.7725,1.89,74,100,2.1,NO,1710266744
292,san isidro de curuguaty,-24.5167,-55.7,39.7,24,0,2.12,PY,1710266745
293,kouango,4.9934,19.9619,33.47,29,85,1.55,CF,1710266746
